num,time,result,l1,l1x,l2,l2x,l3
22019,2022-02-23,01 04 07 17 21 01 02,8,1,131,49,365
22018,2022-02-21,16 21 29 31 34 06 09,8,4,101,36,166
22017,2022-02-19,10 14 18 23 25 07 11,5,2,74,22,268
22016,2022-02-16,01 07 17 26 32 01 09,2,1,74,28,335
22015,2022-02-14,01 02 08 12 30 05 12,14,11,105,37,270
22014,2022-02-12,01 04 10 18 32 01 09,3,1,83,17,171
22013,2022-02-09,04 09 16 25 32 05 06,11,7,325,144,557
