num,time,result,l1,l1x,l2,l2x,l3
16027,2016-03-09,06 11 13 15 28 02 06,157,"7,726","138,233",1,0
16026,2016-03-07,02 06 29 30 34 01 07,93,"5,130","111,331",2,0
16025,2016-03-05,03 06 13 23 24 07 10,421,"16,237","222,539",7,1
16024,2016-03-02,01 02 11 15 18 04 08,165,"6,225","123,683",3,0
16023,2016-02-29,04 09 14 25 27 06 11,151,"6,194","134,055",3,1
16022,2016-02-27,04 18 21 30 35 02 11,324,"6,844","122,839",5,2
16021,2016-02-24,01 04 09 10 35 09 11,86,"5,349","103,391",3,1
16020,2016-02-22,01 16 22 29 30 02 09,175,"8,194","137,915",3,0
16019,2016-02-20,04 11 15 20 26 08 09,230,"11,406","197,087",4,1
16018,2016-02-17,05 10 13 27 33 08 11,184,"8,270","156,464",9,1
16017,2016-02-15,11 18 24 28 29 05 10,255,"9,781","167,266",1,0
16016,2016-02-06,03 10 22 29 32 02 05,135,"7,940","149,263",0,0
16015,2016-02-03,01 04 10 13 30 03 09,190,"11,388","190,524",1,0
16014,2016-02-01,06 08 21 24 27 02 10,170,"6,050","124,507",1,0
16013,2016-01-30,03 21 23 31 35 02 11,114,"6,358","127,329",4,1
16012,2016-01-27,05 07 11 23 28 03 12,228,"8,094","145,289",3,1
16011,2016-01-25,02 08 10 15 23 05 10,204,"8,380","149,439",4,1
16010,2016-01-23,12 13 15 16 28 02 05,131,"6,749","135,869",6,1
16009,2016-01-20,05 08 10 17 20 02 12,200,"8,175","151,491",2,1
16008,2016-01-18,05 12 31 34 35 04 05,185,"12,173","198,855",3,1
16007,2016-01-16,02 05 14 32 35 01 03,106,"5,583","124,550",0,0
16006,2016-01-13,14 16 17 22 24 02 09,125,"5,660","122,260",3,3
16005,2016-01-11,06 09 12 15 20 08 11,210,"9,748","182,505",6,2
16004,2016-01-09,10 20 23 32 35 09 10,143,"5,564","126,179",1,0
16003,2016-01-06,04 12 17 22 26 06 07,185,"8,356","163,609",3,2
16002,2016-01-04,07 12 18 25 35 07 09,177,"7,710","150,700",2,0
16001,2016-01-02,01 07 19 20 30 05 10,270,"11,883","194,379",0,0
15153,2015-12-30,01 07 22 27 33 02 11,164,"4,833","103,829",3,2
15152,2015-12-28,04 05 22 29 35 02 11,143,"5,631","117,785",1,0
15151,2015-12-26,15 16 18 30 35 01 07,152,"8,022","155,491",2,1
15150,2015-12-23,04 13 18 25 33 03 07,215,"9,399","174,979",4,0
15149,2015-12-21,04 06 10 12 28 02 08,174,"7,408","139,468",1,0
15148,2015-12-19,08 11 27 31 33 08 09,177,"10,040","194,966",3,3
15147,2015-12-16,01 02 13 18 19 08 10,115,"6,751","144,744",0,0
15146,2015-12-14,04 15 19 27 31 04 11,341,"5,898","109,131",8,0
15145,2015-12-12,06 07 20 29 32 11 12,145,"6,902","142,085",0,0
15144,2015-12-09,01 09 24 26 29 06 11,247,"7,782","135,194",6,2
15143,2015-12-07,09 20 31 33 35 10 11,141,"6,353","124,998",0,0
15142,2015-12-05,12 14 22 26 30 03 06,124,"7,066","146,375",1,1
15141,2015-12-02,02 04 15 19 31 02 03,143,"6,008","130,398",2,0
