num,time,result,l1,l1x,l2,l2x,l3
11076,2011-07-02,18 23 25 29 30 01 02,25,55,"1,740",2,0
11075,2011-06-29,06 09 20 23 28 06 10,32,66,"1,276",3,0
11074,2011-06-27,07 16 23 28 31 03 06,137,218,"3,140",25,21
11073,2011-06-25,13 19 20 22 33 05 11,37,102,"1,855",2,1
11072,2011-06-22,03 11 13 20 35 03 08,10,58,"1,560",0,0
11071,2011-06-20,27 31 33 34 35 04 06,99,216,"5,078",2,0
11070,2011-06-18,09 19 22 29 30 02 08,103,435,"5,597",13,3
11069,2011-06-15,03 05 28 29 33 04 12,48,82,"2,952",2,1
11068,2011-06-13,01 13 16 18 32 07 09,11,55,"1,267",1,0
11067,2011-06-11,10 17 22 24 32 03 10,28,315,"3,209",5,3
11066,2011-06-08,06 13 18 20 33 09 10,17,54,"2,026",0,0
11065,2011-06-06,03 11 14 25 34 01 04,24,58,"1,212",1,0
11064,2011-06-04,01 06 27 30 34 01 06,26,38,"1,088",1,1
11063,2011-06-01,10 17 18 26 32 01 05,14,65,"2,425",0,0
11062,2011-05-30,06 10 17 20 21 03 07,12,93,"1,594",2,1
11061,2011-05-28,06 07 16 18 20 04 10,17,74,"1,724",3,1
11060,2011-05-25,03 25 29 32 34 09 10,24,126,"1,714",2,1
11059,2011-05-23,09 16 21 29 34 07 10,15,37,"1,283",0,0
11058,2011-05-21,01 09 27 32 33 03 06,299,592,"7,092",21,6
11057,2011-05-18,07 11 30 31 34 09 12,15,87,"1,613",1,0
11056,2011-05-16,03 05 29 30 31 08 10,40,55,"2,805",3,1
11055,2011-05-14,01 07 31 32 35 02 10,46,54,"1,915",0,0
11054,2011-05-11,05 09 16 26 35 03 10,15,48,"1,760",0,0
11053,2011-05-09,03 16 28 31 32 01 09,26,30,"1,056",0,0
11052,2011-05-07,13 24 31 32 33 03 09,28,120,"2,091",4,0
11051,2011-05-04,06 08 12 17 18 05 10,17,66,"1,397",2,0
11050,2011-05-02,04 07 29 32 33 08 10,22,49,"1,749",1,0
11049,2011-04-30,05 06 10 22 25 01 09,29,160,"2,069",2,1
11048,2011-04-27,13 17 25 27 28 02 03,71,290,"7,091",5,0
11047,2011-04-25,02 15 22 33 35 05 08,19,140,"1,271",1,0
11046,2011-04-23,09 15 16 19 29 04 06,39,147,"2,920",2,2
11045,2011-04-20,13 21 22 29 31 07 11,15,150,"1,585",0,0
11044,2011-04-18,11 21 24 26 31 06 07,12,96,"2,753",0,0
11043,2011-04-16,02 08 23 33 35 05 10,57,177,"2,924",0,0
11042,2011-04-13,06 09 18 30 32 10 12,24,28,"1,623",1,0
11041,2011-04-11,04 05 11 13 25 03 06,16,75,"1,194",3,1
11040,2011-04-09,03 07 15 18 20 01 06,14,71,"1,036",0,0
11039,2011-04-06,01 11 14 22 34 06 08,9,32,973,2,0
11038,2011-04-04,07 09 11 13 33 10 12,53,46,985,1,1
11037,2011-04-02,01 12 14 22 24 10 12,31,99,"1,276",1,0
11036,2011-03-30,03 18 29 30 33 08 09,14,60,"1,941",0,0
11035,2011-03-28,03 04 13 15 32 04 09,12,66,868,0,0
11034,2011-03-26,03 06 09 17 27 03 09,22,77,"1,160",0,0
11033,2011-03-23,03 19 24 29 33 03 09,15,101,"1,422",1,1
11032,2011-03-21,07 16 23 31 33 03 10,39,99,"1,963",1,0
11031,2011-03-19,12 17 19 22 35 04 11,18,121,"1,434",0,0
11030,2011-03-16,15 19 25 30 33 03 08,32,393,"4,015",9,2
11029,2011-03-14,03 09 17 24 28 06 12,16,57,"1,188",2,1
11028,2011-03-12,01 02 13 17 28 01 04,18,40,"1,200",0,0
11027,2011-03-09,05 14 25 34 35 02 05,28,119,"2,210",3,0
11026,2011-03-07,01 09 15 20 29 07 09,17,67,"1,155",0,0
11025,2011-03-05,08 09 25 28 29 02 10,69,52,"1,889",1,0
11024,2011-03-02,12 15 16 20 33 08 12,7,27,890,1,0
11023,2011-02-28,05 13 16 18 24 02 12,11,26,804,1,1
11022,2011-02-26,09 14 24 25 34 01 04,23,31,"1,475",0,0
11021,2011-02-23,01 09 13 17 30 02 08,10,94,"1,429",0,0
11020,2011-02-21,09 12 19 22 28 01 05,44,47,"1,588",0,0
11019,2011-02-19,08 21 23 27 33 06 11,21,146,"2,328",3,1
11018,2011-02-16,16 22 24 32 34 02 10,4,43,935,0,0
11017,2011-02-14,16 19 24 26 31 02 04,8,32,927,0,0
11016,2011-02-12,15 20 30 33 35 06 09,25,77,"1,490",0,0
11015,2011-02-09,08 18 19 22 23 01 03,19,25,"1,624",0,0
